"Country or Area","Year","Area","Sex","Age","Industry","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Australia","2016","Total","Male","15 - 19","Water supply; sewerage, waste management and remediation activities (ISIC Rev.4: Section E)","Census - de jure - complete tabulation","Final figure, complete","2017","429","1"
"Australia","2016","Total","Male","15 - 19","Construction (ISIC Rev.4: Section F)","Census - de jure - complete tabulation","Final figure, complete","2017","33749","1"
"Australia","2016","Total","Male","15 - 19","Wholesale and retail trade; repair of motor vehicles and motorcycles (ISIC Rev.4: Section G)","Census - de jure - complete tabulation","Final figure, complete","2017","66293","1"
"Australia","2016","Total","Male","15 - 19","Transportation and storage (ISIC Rev.4: Section H)","Census - de jure - complete tabulation","Final figure, complete","2017","4199","1"
"Australia","2016","Total","Male","15 - 19","Accommodation and food service activities (ISIC Rev.4: Section I)","Census - de jure - complete tabulation","Final figure, complete","2017","73149","1"
"Australia","2016","Total","Male","15 - 19","Information and communication (ISIC Rev.4: Section J)","Census - de jure - complete tabulation","Final figure, complete","2017","3786","1"
"Australia","2016","Total","Male","15 - 19","Financial and insurance activities (ISIC Rev.4: Section K)","Census - de jure - complete tabulation","Final figure, complete","2017","1051","1"
"Australia","2016","Total","Male","15 - 19","Real estate activities (ISIC Rev.4: Section L)","Census - de jure - complete tabulation","Final figure, complete","2017","943","1"
"Australia","2016","Total","Male","15 - 19","Professional, scientific and technical activities (ISIC Rev.4: Section M)","Census - de jure - complete tabulation","Final figure, complete","2017","3289","1"
"Australia","2016","Total","Male","15 - 19","Administrative and support service activities (ISIC Rev.4: Section N)","Census - de jure - complete tabulation","Final figure, complete","2017","5892","1"
"Australia","2016","Total","Male","15 - 19","Public administration and defence; compulsory social security (ISIC Rev.4: Section O)","Census - de jure - complete tabulation","Final figure, complete","2017","3888","1"
"Australia","2016","Total","Male","15 - 19","Education (ISIC Rev.4: Section P)","Census - de jure - complete tabulation","Final figure, complete","2017","7840","1"
"Australia","2016","Total","Male","15 - 19","Human health and social work activities (ISIC Rev.4: Section Q)","Census - de jure - complete tabulation","Final figure, complete","2017","3560","1"
"Australia","2016","Total","Male","15 - 19","Arts, entertainment and recreation (ISIC Rev.4: Section R)","Census - de jure - complete tabulation","Final figure, complete","2017","9350","1"
"Australia","2016","Total","Male","15 - 19","Other service activities (ISIC Rev.4: Section S)","Census - de jure - complete tabulation","Final figure, complete","2017","2258","1"
"Australia","2016","Total","Male","15 - 19","Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use (ISIC Rev.4: Section T)","Census - de jure - complete tabulation","Final figure, complete","2017","16","1"
"Australia","2016","Total","Male","15 - 19","Activities of extraterritorial organizations and bodies (ISIC Rev.4: Section U)","Census - de jure - complete tabulation","Final figure, complete","2017","0","1"
"Australia","2016","Total","Male","15 - 19","Unknown","Census - de jure - complete tabulation","Final figure, complete","2017","13446","1"
"Australia","2016","Total","Male","15 - 19","Total","Census - de jure - complete tabulation","Final figure, complete","2017","254118","1"
"Australia","2016","Total","Male","15 +","Agriculture, hunting and forestry (ISIC Rev.3/3.1: Section A)","Census - de jure - complete tabulation","Final figure, complete","2017","206810","1"
"Australia","2016","Total","Male","15 +","Fishing (ISIC Rev.3/3.1: Section B)","Census - de jure - complete tabulation","Final figure, complete","2017","7060","1"
"Australia","2016","Total","Male","15 +","Mining and quarrying (ISIC Rev.3/3.1: Section C)","Census - de jure - complete tabulation","Final figure, complete","2017","135322","1"
"Australia","2016","Total","Male","15 +","Manufacturing (ISIC Rev.3/3.1: Section D)","Census - de jure - complete tabulation","Final figure, complete","2017","539626","1"
"Australia","2016","Total","Male","15 +","Electricity, gas and water supply (ISIC Rev.3/3.1: Section E)","Census - de jure - complete tabulation","Final figure, complete","2017","63431","1"
"Australia","2016","Total","Male","15 +","Construction (ISIC Rev.3/3.1: Section F)","Census - de jure - complete tabulation","Final figure, complete","2017","784092","1"
"Australia","2016","Total","Male","15 +","Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods (ISIC Rev.3/3.1: Section G)","Census - de jure - complete tabulation","Final figure, complete","2017","757384","1"
"Australia","2016","Total","Male","15 +","Hotels and restaurants (ISIC Rev.3/3.1: Section H)","Census - de jure - complete tabulation","Final figure, complete","2017","335872","1"
"Australia","2016","Total","Male","15 +","Transport, storage and communications (ISIC Rev.3/3.1: Section I)","Census - de jure - complete tabulation","Final figure, complete","2017","451122","1"
"Australia","2016","Total","Male","15 +","Financial intermediation (ISIC Rev.3/3.1:  Section J)","Census - de jure - complete tabulation","Final figure, complete","2017","186679","1"
"Australia","2016","Total","Male","15 +","Real estate, renting and business activities (ISIC Rev.3/3.1: Category K)","Census - de jure - complete tabulation","Final figure, complete","2017","630503","1"
"Australia","2016","Total","Male","15 +","Public administration and defense; compulsory social security (ISIC-Rev.3/3.1: Section L)","Census - de jure - complete tabulation","Final figure, complete","2017","344922","1"
"Australia","2016","Total","Male","15 +","Education (ISIC Rev.3/3.1: Section M)","Census - de jure - complete tabulation","Final figure, complete","2017","253816","1"
"Australia","2016","Total","Male","15 +","Health and social work (ISIC Rev.3/3.1: Section N)","Census - de jure - complete tabulation","Final figure, complete","2017","294094","1"
"Australia","2016","Total","Male","15 +","Other community, social and personal service activities (ISIC Rev.3/3.1: Section O)","Census - de jure - complete tabulation","Final figure, complete","2017","285418","1"
"Australia","2016","Total","Male","15 +","Activities of private households as employers and undifferentiated production activities of private households (ISIC Rev.3/3.1: Category P)","Census - de jure - complete tabulation","Final figure, complete","2017","125","1"
"Australia","2016","Total","Male","15 +","Extraterritorial organizations and bodies (ISIC Rev.3/3.1: Section Q)","Census - de jure - complete tabulation","Final figure, complete","2017","513","1"
"Australia","2016","Total","Male","15 +","Not defined/not classifiable","Census - de jure - complete tabulation","Final figure, complete","2017","330986","1"
"Australia","2016","Total","Male","15 +","Total","Census - de jure - complete tabulation","Final figure, complete","2017","5607777","1"
"Australia","2016","Total","Male","15 +","Agriculture, forestry and fishing (ISIC Rev.4: Section A)","Census - de jure - complete tabulation","Final figure, complete","2017","186128","1"
"Australia","2016","Total","Male","15 +","Mining and quarrying (ISIC Rev.4: Section B)","Census - de jure - complete tabulation","Final figure, complete","2017","149060","1"
"Australia","2016","Total","Male","15 +","Manufacturing (ISIC Rev.4: Section C)","Census - de jure - complete tabulation","Final figure, complete","2017","525055","1"
"Australia","2016","Total","Male","15 +","Electricity, gas, steam and air conditioning supply (ISIC Rev.4: Section D)","Census - de jure - complete tabulation","Final figure, complete","2017","45364","1"
"Australia","2016","Total","Male","15 +","Water supply; sewerage, waste management and remediation activities (ISIC Rev.4: Section E)","Census - de jure - complete tabulation","Final figure, complete","2017","41502","1"
"Australia","2016","Total","Male","15 +","Construction (ISIC Rev.4: Section F)","Census - de jure - complete tabulation","Final figure, complete","2017","793044","1"
"Australia","2016","Total","Male","15 +","Wholesale and retail trade; repair of motor vehicles and motorcycles (ISIC Rev.4: Section G)","Census - de jure - complete tabulation","Final figure, complete","2017","747668","1"
"Australia","2016","Total","Male","15 +","Transportation and storage (ISIC Rev.4: Section H)","Census - de jure - complete tabulation","Final figure, complete","2017","357558","1"
"Australia","2016","Total","Male","15 +","Accommodation and food service activities (ISIC Rev.4: Section I)","Census - de jure - complete tabulation","Final figure, complete","2017","335872","1"
"Australia","2016","Total","Male","15 +","Information and communication (ISIC Rev.4: Section J)","Census - de jure - complete tabulation","Final figure, complete","2017","228971","1"
"Australia","2016","Total","Male","15 +","Financial and insurance activities (ISIC Rev.4: Section K)","Census - de jure - complete tabulation","Final figure, complete","2017","186493","1"
"Australia","2016","Total","Male","15 +","Real estate activities (ISIC Rev.4: Section L)","Census - de jure - complete tabulation","Final figure, complete","2017","65125","1"
"Australia","2016","Total","Male","15 +","Professional, scientific and technical activities (ISIC Rev.4: Section M)","Census - de jure - complete tabulation","Final figure, complete","2017","304351","1"
"Australia","2016","Total","Male","15 +","Administrative and support service activities (ISIC Rev.4: Section N)","Census - de jure - complete tabulation","Final figure, complete","2017","255851","1"
"Australia","2016","Total","Male","15 +","Public administration and defence; compulsory social security (ISIC Rev.4: Section O)","Census - de jure - complete tabulation","Final figure, complete","2017","344922","1"
"Australia","2016","Total","Male","15 +","Education (ISIC Rev.4: Section P)","Census - de jure - complete tabulation","Final figure, complete","2017","266099","1"
"Australia","2016","Total","Male","15 +","Human health and social work activities (ISIC Rev.4: Section Q)","Census - de jure - complete tabulation","Final figure, complete","2017","289962","1"
"Australia","2016","Total","Male","15 +","Arts, entertainment and recreation (ISIC Rev.4: Section R)","Census - de jure - complete tabulation","Final figure, complete","2017","94540","1"
"Australia","2016","Total","Male","15 +","Other service activities (ISIC Rev.4: Section S)","Census - de jure - complete tabulation","Final figure, complete","2017","81281","1"
"Australia","2016","Total","Male","15 +","Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use (ISIC Rev.4: Section T)","Census - de jure - complete tabulation","Final figure, complete","2017","125","1"
"Australia","2016","Total","Male","15 +","Activities of extraterritorial organizations and bodies (ISIC Rev.4: Section U)","Census - de jure - complete tabulation","Final figure, complete","2017","513","1"
"Australia","2016","Total","Male","15 +","Unknown","Census - de jure - complete tabulation","Final figure, complete","2017","308298","1"
"Australia","2016","Total","Male","15 +","Total","Census - de jure - complete tabulation","Final figure, complete","2017","5607777","1"
"Australia","2016","Total","Male","20 - 24","Agriculture, hunting and forestry (ISIC Rev.3/3.1: Section A)","Census - de jure - complete tabulation","Final figure, complete","2017","13908","1"
"Australia","2016","Total","Male","20 - 24","Fishing (ISIC Rev.3/3.1: Section B)","Census - de jure - complete tabulation","Final figure, complete","2017","556","1"
"Australia","2016","Total","Male","20 - 24","Mining and quarrying (ISIC Rev.3/3.1: Section C)","Census - de jure - complete tabulation","Final figure, complete","2017","5559","1"
"Australia","2016","Total","Male","20 - 24","Manufacturing (ISIC Rev.3/3.1: Section D)","Census - de jure - complete tabulation","Final figure, complete","2017","39710","1"
"Australia","2016","Total","Male","20 - 24","Electricity, gas and water supply (ISIC Rev.3/3.1: Section E)","Census - de jure - complete tabulation","Final figure, complete","2017","2908","1"
"Australia","2016","Total","Male","20 - 24","Construction (ISIC Rev.3/3.1: Section F)","Census - de jure - complete tabulation","Final figure, complete","2017","87971","1"
"Australia","2016","Total","Male","20 - 24","Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods (ISIC Rev.3/3.1: Section G)","Census - de jure - complete tabulation","Final figure, complete","2017","102114","1"
"Australia","2016","Total","Male","20 - 24","Hotels and restaurants (ISIC Rev.3/3.1: Section H)","Census - de jure - complete tabulation","Final figure, complete","2017","63026","1"
"Australia","2016","Total","Male","20 - 24","Transport, storage and communications (ISIC Rev.3/3.1: Section I)","Census - de jure - complete tabulation","Final figure, complete","2017","23733","1"
"Australia","2016","Total","Male","20 - 24","Financial intermediation (ISIC Rev.3/3.1:  Section J)","Census - de jure - complete tabulation","Final figure, complete","2017","9661","1"
"Australia","2016","Total","Male","20 - 24","Real estate, renting and business activities (ISIC Rev.3/3.1: Category K)","Census - de jure - complete tabulation","Final figure, complete","2017","43085","1"
"Australia","2016","Total","Male","20 - 24","Public administration and defense; compulsory social security (ISIC-Rev.3/3.1: Section L)","Census - de jure - complete tabulation","Final figure, complete","2017","19677","1"
"Australia","2016","Total","Male","20 - 24","Education (ISIC Rev.3/3.1: Section M)","Census - de jure - complete tabulation","Final figure, complete","2017","17461","1"
"Australia","2016","Total","Male","20 - 24","Health and social work (ISIC Rev.3/3.1: Section N)","Census - de jure - complete tabulation","Final figure, complete","2017","17473","1"
"Australia","2016","Total","Male","20 - 24","Other community, social and personal service activities (ISIC Rev.3/3.1: Section O)","Census - de jure - complete tabulation","Final figure, complete","2017","30811","1"
"Australia","2016","Total","Male","20 - 24","Activities of private households as employers and undifferentiated production activities of private households (ISIC Rev.3/3.1: Category P)","Census - de jure - complete tabulation","Final figure, complete","2017","24","1"
"Australia","2016","Total","Male","20 - 24","Extraterritorial organizations and bodies (ISIC Rev.3/3.1: Section Q)","Census - de jure - complete tabulation","Final figure, complete","2017","7","1"
"Australia","2016","Total","Male","20 - 24","Not defined/not classifiable","Census - de jure - complete tabulation","Final figure, complete","2017","32962","1"
"Australia","2016","Total","Male","20 - 24","Total","Census - de jure - complete tabulation","Final figure, complete","2017","510658","1"
"Australia","2016","Total","Male","20 - 24","Agriculture, forestry and fishing (ISIC Rev.4: Section A)","Census - de jure - complete tabulation","Final figure, complete","2017","12679","1"
"Australia","2016","Total","Male","20 - 24","Mining and quarrying (ISIC Rev.4: Section B)","Census - de jure - complete tabulation","Final figure, complete","2017","6278","1"
"Australia","2016","Total","Male","20 - 24","Manufacturing (ISIC Rev.4: Section C)","Census - de jure - complete tabulation","Final figure, complete","2017","38911","1"
"Australia","2016","Total","Male","20 - 24","Electricity, gas, steam and air conditioning supply (ISIC Rev.4: Section D)","Census - de jure - complete tabulation","Final figure, complete","2017","2234","1"
"Australia","2016","Total","Male","20 - 24","Water supply; sewerage, waste management and remediation activities (ISIC Rev.4: Section E)","Census - de jure - complete tabulation","Final figure, complete","2017","1937","1"
"Australia","2016","Total","Male","20 - 24","Construction (ISIC Rev.4: Section F)","Census - de jure - complete tabulation","Final figure, complete","2017","88805","1"
"Australia","2016","Total","Male","20 - 24","Wholesale and retail trade; repair of motor vehicles and motorcycles (ISIC Rev.4: Section G)","Census - de jure - complete tabulation","Final figure, complete","2017","101080","1"
"Australia","2016","Total","Male","20 - 24","Transportation and storage (ISIC Rev.4: Section H)","Census - de jure - complete tabulation","Final figure, complete","2017","18124","1"
"Australia","2016","Total","Male","20 - 24","Accommodation and food service activities (ISIC Rev.4: Section I)","Census - de jure - complete tabulation","Final figure, complete","2017","63026","1"
"Australia","2016","Total","Male","20 - 24","Information and communication (ISIC Rev.4: Section J)","Census - de jure - complete tabulation","Final figure, complete","2017","14083","1"
"Australia","2016","Total","Male","20 - 24","Financial and insurance activities (ISIC Rev.4: Section K)","Census - de jure - complete tabulation","Final figure, complete","2017","9650","1"
"Australia","2016","Total","Male","20 - 24","Real estate activities (ISIC Rev.4: Section L)","Census - de jure - complete tabulation","Final figure, complete","2017","4048","1"
"Australia","2016","Total","Male","20 - 24","Professional, scientific and technical activities (ISIC Rev.4: Section M)","Census - de jure - complete tabulation","Final figure, complete","2017","19997","1"
"Australia","2016","Total","Male","20 - 24","Administrative and support service activities (ISIC Rev.4: Section N)","Census - de jure - complete tabulation","Final figure, complete","2017","21789","1"
"Australia","2016","Total","Male","20 - 24","Public administration and defence; compulsory social security (ISIC Rev.4: Section O)","Census - de jure - complete tabulation","Final figure, complete","2017","19677","1"
"Australia","2016","Total","Male","20 - 24","Education (ISIC Rev.4: Section P)","Census - de jure - complete tabulation","Final figure, complete","2017","19619","1"
"Australia","2016","Total","Male","20 - 24","Human health and social work activities (ISIC Rev.4: Section Q)","Census - de jure - complete tabulation","Final figure, complete","2017","17244","1"
"Australia","2016","Total","Male","20 - 24","Arts, entertainment and recreation (ISIC Rev.4: Section R)","Census - de jure - complete tabulation","Final figure, complete","2017","13412","1"
"Australia","2016","Total","Male","20 - 24","Other service activities (ISIC Rev.4: Section S)","Census - de jure - complete tabulation","Final figure, complete","2017","6987","1"
"Australia","2016","Total","Male","20 - 24","Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use (ISIC Rev.4: Section T)","Census - de jure - complete tabulation","Final figure, complete","2017","24","1"
"Australia","2016","Total","Male","20 - 24","Activities of extraterritorial organizations and bodies (ISIC Rev.4: Section U)","Census - de jure - complete tabulation","Final figure, complete","2017","7","1"
"Australia","2016","Total","Male","20 - 24","Unknown","Census - de jure - complete tabulation","Final figure, complete","2017","31051","1"
"Australia","2016","Total","Male","20 - 24","Total","Census - de jure - complete tabulation","Final figure, complete","2017","510658","1"
"Australia","2016","Total","Male","25 - 29","Agriculture, hunting and forestry (ISIC Rev.3/3.1: Section A)","Census - de jure - complete tabulation","Final figure, complete","2017","16113","1"
"Australia","2016","Total","Male","25 - 29","Fishing (ISIC Rev.3/3.1: Section B)","Census - de jure - complete tabulation","Final figure, complete","2017","697","1"
"Australia","2016","Total","Male","25 - 29","Mining and quarrying (ISIC Rev.3/3.1: Section C)","Census - de jure - complete tabulation","Final figure, complete","2017","15271","1"
"Australia","2016","Total","Male","25 - 29","Manufacturing (ISIC Rev.3/3.1: Section D)","Census - de jure - complete tabulation","Final figure, complete","2017","51109","1"
"Australia","2016","Total","Male","25 - 29","Electricity, gas and water supply (ISIC Rev.3/3.1: Section E)","Census - de jure - complete tabulation","Final figure, complete","2017","5887","1"
"Australia","2016","Total","Male","25 - 29","Construction (ISIC Rev.3/3.1: Section F)","Census - de jure - complete tabulation","Final figure, complete","2017","105064","1"
"Australia","2016","Total","Male","25 - 29","Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods (ISIC Rev.3/3.1: Section G)","Census - de jure - complete tabulation","Final figure, complete","2017","86997","1"
"Australia","2016","Total","Male","25 - 29","Hotels and restaurants (ISIC Rev.3/3.1: Section H)","Census - de jure - complete tabulation","Final figure, complete","2017","45687","1"
"Australia","2016","Total","Male","25 - 29","Transport, storage and communications (ISIC Rev.3/3.1: Section I)","Census - de jure - complete tabulation","Final figure, complete","2017","40282","1"
"Australia","2016","Total","Male","25 - 29","Financial intermediation (ISIC Rev.3/3.1:  Section J)","Census - de jure - complete tabulation","Final figure, complete","2017","21284","1"
"Australia","2016","Total","Male","25 - 29","Real estate, renting and business activities (ISIC Rev.3/3.1: Category K)","Census - de jure - complete tabulation","Final figure, complete","2017","75019","1"
"Australia","2016","Total","Male","25 - 29","Public administration and defense; compulsory social security (ISIC-Rev.3/3.1: Section L)","Census - de jure - complete tabulation","Final figure, complete","2017","32865","1"
"Australia","2016","Total","Male","25 - 29","Education (ISIC Rev.3/3.1: Section M)","Census - de jure - complete tabulation","Final figure, complete","2017","24151","1"
"Australia","2016","Total","Male","25 - 29","Health and social work (ISIC Rev.3/3.1: Section N)","Census - de jure - complete tabulation","Final figure, complete","2017","31259","1"
"Australia","2016","Total","Male","25 - 29","Other community, social and personal service activities (ISIC Rev.3/3.1: Section O)","Census - de jure - complete tabulation","Final figure, complete","2017","32740","1"
"Australia","2016","Total","Male","25 - 29","Activities of private households as employers and undifferentiated production activities of private households (ISIC Rev.3/3.1: Category P)","Census - de jure - complete tabulation","Final figure, complete","2017","11","1"
"Australia","2016","Total","Male","25 - 29","Extraterritorial organizations and bodies (ISIC Rev.3/3.1: Section Q)","Census - de jure - complete tabulation","Final figure, complete","2017","35","1"
"Australia","2016","Total","Male","25 - 29","Not defined/not classifiable","Census - de jure - complete tabulation","Final figure, complete","2017","37726","1"
"Australia","2016","Total","Male","25 - 29","Total","Census - de jure - complete tabulation","Final figure, complete","2017","622212","1"
"Australia","2016","Total","Male","25 - 29","Agriculture, forestry and fishing (ISIC Rev.4: Section A)","Census - de jure - complete tabulation","Final figure, complete","2017","14804","1"
"Australia","2016","Total","Male","25 - 29","Mining and quarrying (ISIC Rev.4: Section B)","Census - de jure - complete tabulation","Final figure, complete","2017","16776","1"
"Australia","2016","Total","Male","25 - 29","Manufacturing (ISIC Rev.4: Section C)","Census - de jure - complete tabulation","Final figure, complete","2017","49774","1"
"Australia","2016","Total","Male","25 - 29","Electricity, gas, steam and air conditioning supply (ISIC Rev.4: Section D)","Census - de jure - complete tabulation","Final figure, complete","2017","4574","1"
"Australia","2016","Total","Male","25 - 29","Water supply; sewerage, waste management and remediation activities (ISIC Rev.4: Section E)","Census - de jure - complete tabulation","Final figure, complete","2017","3293","1"
"Australia","2016","Total","Male","25 - 29","Construction (ISIC Rev.4: Section F)","Census - de jure - complete tabulation","Final figure, complete","2017","106130","1"
"Australia","2016","Total","Male","25 - 29","Wholesale and retail trade; repair of motor vehicles and motorcycles (ISIC Rev.4: Section G)","Census - de jure - complete tabulation","Final figure, complete","2017","85920","1"
"Australia","2016","Total","Male","25 - 29","Transportation and storage (ISIC Rev.4: Section H)","Census - de jure - complete tabulation","Final figure, complete","2017","31039","1"
"Australia","2016","Total","Male","25 - 29","Accommodation and food service activities (ISIC Rev.4: Section I)","Census - de jure - complete tabulation","Final figure, complete","2017","45687","1"
"Australia","2016","Total","Male","25 - 29","Information and communication (ISIC Rev.4: Section J)","Census - de jure - complete tabulation","Final figure, complete","2017","26667","1"
"Australia","2016","Total","Male","25 - 29","Financial and insurance activities (ISIC Rev.4: Section K)","Census - de jure - complete tabulation","Final figure, complete","2017","21271","1"
"Australia","2016","Total","Male","25 - 29","Real estate activities (ISIC Rev.4: Section L)","Census - de jure - complete tabulation","Final figure, complete","2017","6735","1"
"Australia","2016","Total","Male","25 - 29","Professional, scientific and technical activities (ISIC Rev.4: Section M)","Census - de jure - complete tabulation","Final figure, complete","2017","36735","1"
"Australia","2016","Total","Male","25 - 29","Administrative and support service activities (ISIC Rev.4: Section N)","Census - de jure - complete tabulation","Final figure, complete","2017","28266","1"
"Australia","2016","Total","Male","25 - 29","Public administration and defence; compulsory social security (ISIC Rev.4: Section O)","Census - de jure - complete tabulation","Final figure, complete","2017","32865","1"
"Australia","2016","Total","Male","25 - 29","Education (ISIC Rev.4: Section P)","Census - de jure - complete tabulation","Final figure, complete","2017","25354","1"
"Australia","2016","Total","Male","25 - 29","Human health and social work activities (ISIC Rev.4: Section Q)","Census - de jure - complete tabulation","Final figure, complete","2017","30849","1"
"Australia","2016","Total","Male","25 - 29","Arts, entertainment and recreation (ISIC Rev.4: Section R)","Census - de jure - complete tabulation","Final figure, complete","2017","11734","1"
"Australia","2016","Total","Male","25 - 29","Other service activities (ISIC Rev.4: Section S)","Census - de jure - complete tabulation","Final figure, complete","2017","8555","1"
"Australia","2016","Total","Male","25 - 29","Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use (ISIC Rev.4: Section T)","Census - de jure - complete tabulation","Final figure, complete","2017","11","1"
"Australia","2016","Total","Male","25 - 29","Activities of extraterritorial organizations and bodies (ISIC Rev.4: Section U)","Census - de jure - complete tabulation","Final figure, complete","2017","35","1"
"Australia","2016","Total","Male","25 - 29","Unknown","Census - de jure - complete tabulation","Final figure, complete","2017","35131","1"
"Australia","2016","Total","Male","25 - 29","Total","Census - de jure - complete tabulation","Final figure, complete","2017","622212","1"
"Australia","2016","Total","Male","30 - 34","Agriculture, hunting and forestry (ISIC Rev.3/3.1: Section A)","Census - de jure - complete tabulation","Final figure, complete","2017","16364","1"
"Australia","2016","Total","Male","30 - 34","Fishing (ISIC Rev.3/3.1: Section B)","Census - de jure - complete tabulation","Final figure, complete","2017","721","1"
"Australia","2016","Total","Male","30 - 34","Mining and quarrying (ISIC Rev.3/3.1: Section C)","Census - de jure - complete tabulation","Final figure, complete","2017","21032","1"
"Australia","2016","Total","Male","30 - 34","Manufacturing (ISIC Rev.3/3.1: Section D)","Census - de jure - complete tabulation","Final figure, complete","2017","59657","1"
"Australia","2016","Total","Male","30 - 34","Electricity, gas and water supply (ISIC Rev.3/3.1: Section E)","Census - de jure - complete tabulation","Final figure, complete","2017","8045","1"
"Australia","2016","Total","Male","30 - 34","Construction (ISIC Rev.3/3.1: Section F)","Census - de jure - complete tabulation","Final figure, complete","2017","102044","1"
"Australia","2016","Total","Male","30 - 34","Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods (ISIC Rev.3/3.1: Section G)","Census - de jure - complete tabulation","Final figure, complete","2017","83597","1"
"Australia","2016","Total","Male","30 - 34","Hotels and restaurants (ISIC Rev.3/3.1: Section H)","Census - de jure - complete tabulation","Final figure, complete","2017","36770","1"
"Australia","2016","Total","Male","30 - 34","Transport, storage and communications (ISIC Rev.3/3.1: Section I)","Census - de jure - complete tabulation","Final figure, complete","2017","51920","1"
"Australia","2016","Total","Male","30 - 34","Financial intermediation (ISIC Rev.3/3.1:  Section J)","Census - de jure - complete tabulation","Final figure, complete","2017","29232","1"
"Australia","2016","Total","Male","30 - 34","Real estate, renting and business activities (ISIC Rev.3/3.1: Category K)","Census - de jure - complete tabulation","Final figure, complete","2017","89397","1"
